날짜,"선물국채3년_외국인거래량
(매수)","선물국채3년_외국인거래량
(매도)"
2017/07/19,"8,242","12,198"
2017/07/18,"14,642","10,701"
2017/07/17,"10,322","9,482"
2017/07/14,"9,818","6,477"
2017/07/13,"26,587","20,567"
2017/07/12,"14,240","14,097"
2017/07/11,"12,846","15,630"
2017/07/10,"23,526","24,393"
2017/07/07,"13,651","34,336"
2017/07/06,"15,894","29,978"
2017/07/05,"9,974","19,745"
2017/07/04,"20,876","22,766"
2017/07/03,"10,111","17,748"
2017/06/30,"25,846","29,509"
2017/06/29,"23,632","34,681"
2017/06/28,"31,728","43,350"
2017/06/27,"16,268","16,634"
2017/06/26,"9,885","10,559"
2017/06/23,"17,718","24,443"
2017/06/22,"11,548","15,858"
2017/06/21,"13,398","15,359"
2017/06/20,"30,794","30,385"
2017/06/19,"101,836","102,110"
2017/06/16,"94,469","100,655"
2017/06/15,"36,479","37,160"
2017/06/14,"23,538","32,387"
2017/06/13,"35,750","34,100"
2017/06/12,"31,997","40,940"
2017/06/09,"16,014","13,977"
2017/06/08,"20,283","15,873"
2017/06/07,"16,992","12,205"
2017/06/05,"20,781","13,059"
2017/06/02,"24,562","16,371"
2017/06/01,"23,738","12,854"
2017/05/31,"20,615","10,966"
2017/05/30,"33,944","17,179"
2017/05/29,"8,704","7,274"
2017/05/26,"12,319","10,932"
2017/05/25,"17,223","18,012"
2017/05/24,"12,924","14,321"
2017/05/23,"17,156","14,732"
2017/05/22,"18,431","19,616"
2017/05/19,"29,638","18,687"
2017/05/18,"35,382","24,617"
2017/05/17,"20,037","15,242"
2017/05/16,"19,125","26,832"
2017/05/15,"22,934","15,162"
2017/05/12,"11,567","15,907"
2017/05/11,"21,895","28,669"
2017/05/10,"17,244","26,062"
2017/05/08,"13,012","10,536"
2017/05/04,"11,576","10,932"
2017/05/02,"14,927","14,886"
2017/04/28,"10,770","12,038"
2017/04/27,"11,192","8,764"
2017/04/26,"12,225","12,085"
2017/04/25,"14,651","13,535"
2017/04/24,"17,860","20,109"
2017/04/21,"16,579","15,582"
2017/04/20,"15,715","14,756"
2017/04/19,"16,423","14,106"
2017/04/18,"11,229","11,775"
2017/04/17,"18,576","16,768"
